ARO_Term	Drug_Class	All_Mapped_Reads	Average_Percent_Coverage
iri	rifamycin antibiotic	2.00	11.39
lnuB	lincosamide antibiotic	12.00	85.20
MexC	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	28.00	46.82
AIM-1	cephalosporin; penicillin beta-lactam	7.00	61.40
mdtB	aminocoumarin antibiotic	86.00	91.32
APH(3')-Ib	aminoglycoside antibiotic	1.00	3.68
adeB	glycylcycline; tetracycline antibiotic	11.00	36.62
CRP	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	27.00	96.37
smeE	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	335.00	97.63
vanR gene in vanA cluster	glycopeptide antibiotic	2.00	27.30
OXA-5	penicillin beta-lactam	14.00	88.93
ANT(6)-Ia	aminoglycoside antibiotic	3.00	40.39
AAC(6')-IIc	aminoglycoside antibiotic	8.00	54.47
ErmX	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	2.00	16.84
sul2	sulfonamide antibiotic	2.00	13.97
OXA-129	penicillin beta-lactam	2.00	24.00
QnrD1	fluoroquinolone antibiotic	6.00	31.01
mecI	penicillin beta-lactam	7.00	40.86
OXA-333	carbapenem; penicillin beta-lactam	233.00	100.00
tet(X)	glycylcycline; tetracycline antibiotic	231.00	99.83
tet(40)	tetracycline antibiotic	6.00	25.80
tet(G)	tetracycline antibiotic	56.00	100.00
RCP-1	penicillin beta-lactam	10.00	63.49
ugd	peptide antibiotic	18.00	85.09
ErmA	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	1.00	20.49
ErmG	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	5.00	40.95
OprJ	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	22.00	78.89
EreA	macrolide antibiotic	20.00	95.74
APH(6)-Id	aminoglycoside antibiotic	9.00	56.75
cmlA1	phenicol antibiotic	10.00	53.10
cmlB1	phenicol antibiotic	5.00	34.28
sul1	sulfonamide antibiotic	10.00	48.10
OXA-37	penicillin beta-lactam	1.00	4.49
OXA-420	carbapenem; penicillin beta-lactam	6.00	68.21
acrB	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	179.00	95.49
ANT(6)-Ib	aminoglycoside antibiotic	5.00	59.67
CGB-1	carbapenem; cephalosporin; penicillin beta-lactam	4.00	3.70
OXA-2	cephalosporin; penicillin beta-lactam	65.00	100.00
AAC(6')-Ib-SK	aminoglycoside antibiotic	3.00	20.72
tet(39)	tetracycline antibiotic	616.00	100.00
tet(V)	tetracycline antibiotic	8.00	31.75
evgA	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	9.00	77.72
AER-1	penicillin beta-lactam	9.00	82.51
lsaB	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	16.00	24.41
aadA15	aminoglycoside antibiotic	20.00	26.77
EBR-1	carbapenem; cephalosporin; penicillin beta-lactam	45.00	100.00
tet(H)	tetracycline antibiotic	4.00	25.10
mdtM	fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	19.00	76.80
APH(3')-VIa	aminoglycoside antibiotic	35.00	98.59
OXA-58	carbapenem; penicillin beta-lactam	14.00	97.86
dfrA12	diaminopyrimidine antibiotic	2.00	40.56
mphA	macrolide antibiotic	9.00	90.62
MexE	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	17.00	69.08
rosA	peptide antibiotic	3.00	29.85
H-NS	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic	13.00	86.96
lsaA	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic; pleuromutilin antibiotic	2.00	1.94
AAC(6')-Ic	aminoglycoside antibiotic	5.00	24.04
EreD	macrolide antibiotic	572.00	100.00
tet(44)	tetracycline antibiotic	10.00	43.27
mef(B)	macrolide antibiotic	20.00	95.69
SAT-2	nucleoside antibiotic	2.00	32.76
adeA	glycylcycline; tetracycline antibiotic	5.00	33.42
mdtC	aminocoumarin antibiotic	80.00	87.36
tet(Q)	tetracycline antibiotic	73.00	98.94
tet(32)	tetracycline antibiotic	18.00	54.69
emrR	fluoroquinolone antibiotic	22.00	100.00
APH(3')-IIIa	aminoglycoside antibiotic	1.00	4.40
mel	macrolide antibiotic; streptogramin antibiotic	228.00	100.00
GES-5	carbapenem; cephalosporin; penicillin beta-lactam	2.00	5.32
CTX-M-132	cephalosporin	2.00	26.03
cmx	phenicol antibiotic	3.00	32.48
evgS	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	33.00	53.62
ceoB	fluoroquinolone antibiotic; aminoglycoside antibiotic	238.00	77.76
OXA-119	penicillin beta-lactam	13.00	90.64
aadA22	aminoglycoside antibiotic	11.00	30.43
aadA5	aminoglycoside antibiotic	92.00	100.00
SHV-94	cephalosporin; penicillin beta-lactam	2.00	35.08
RbpA	rifamycin antibiotic	4.00	49.86
mdtN	nucleoside antibiotic; disinfecting agents and antiseptics	8.00	63.66
IND-9	carbapenem	5.00	5.00
abeM	fluoroquinolone antibiotic; disinfecting agents and antiseptics	3.00	13.73
QnrB26	fluoroquinolone antibiotic	2.00	44.35
vanH gene in vanD cluster	glycopeptide antibiotic	1.00	2.37
Bla1	penicillin beta-lactam	5.00	7.63
AcrF	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam	65.00	89.98
ANT(2'')-Ia	aminoglycoside antibiotic	20.00	89.70
AcrE	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam	11.00	62.35
OXA-209	penicillin beta-lactam	31.00	70.91
smeA	aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam	9.00	60.90
EreA2	macrolide antibiotic	27.00	98.04
GES-2	carbapenem; cephalosporin; penicillin beta-lactam	4.00	57.64
Erm(43)	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic	7.00	8.20
APH(6)-Ia	aminoglycoside antibiotic	8.00	8.12
acrD	aminoglycoside antibiotic	141.00	94.32
OXA-17	cephalosporin; penicillin beta-lactam	4.00	55.93
OXA-10	cephalosporin; penicillin beta-lactam	347.00	100.00
