sample	cohort_memberships	source_mode	total_ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_like_ARG_loci	plasmid_like_ARG_fraction	virus_like_ARG_loci	virus_like_ARG_fraction	chromosome_like_ARG_loci	chromosome_like_ARG_fraction	canonical10_unique_ARG_loci	canonical10_mobile_ARG_loci	canonical10_mobile_ARG_fraction	canonical10_plasmid_ARG_loci	canonical10_plasmid_ARG_fraction	ARG_10class_Shannon	ARG_10class_richness
I_1-2	Kathmandu18	strict_perfect	795	81	0.1018867924528302	81	0.1018867924528302	0	0.0	714	0.8981132075471698	346	66	0.1907514450867052	66	0.1907514450867052	2.0362217613667988	10
I_11-12	Kathmandu18	strict_perfect	731	81	0.11080711354309165	78	0.106703146374829	3	0.004103967168262654	650	0.8891928864569083	315	63	0.2	62	0.19682539682539682	2.0314580355095555	10
I_3-4	Kathmandu18	strict_perfect	763	85	0.11140235910878113	83	0.10878112712975098	2	0.002621231979030144	678	0.8885976408912188	337	67	0.19881305637982197	66	0.19584569732937684	2.03843416020516	10
I_5-6	Kathmandu18	strict_perfect	575	41	0.07130434782608695	39	0.06782608695652174	2	0.0034782608695652175	534	0.928695652173913	189	32	0.1693121693121693	32	0.1693121693121693	1.8866070538876274	10
I_7-8	Kathmandu18	strict_perfect	761	89	0.11695137976346912	86	0.11300919842312747	3	0.003942181340341655	672	0.8830486202365309	348	71	0.20402298850574713	70	0.20114942528735633	2.039057413605588	10
I_9-10	Kathmandu18	strict_perfect	851	93	0.10928319623971798	92	0.10810810810810811	1	0.0011750881316098707	758	0.8907168037602821	383	76	0.19843342036553524	76	0.19843342036553524	2.0493426449242547	10
RW_1	Kathmandu18	strict_perfect	629	76	0.12082670906200318	70	0.11128775834658187	6	0.009538950715421303	553	0.8791732909379968	235	56	0.23829787234042554	55	0.23404255319148937	2.011990246695408	10
RW_2	Kathmandu18	strict_perfect	500	70	0.14	67	0.134	3	0.006	430	0.86	266	55	0.20676691729323307	53	0.19924812030075187	2.044773012284686	10
RW_3	Kathmandu18	strict_perfect	497	49	0.09859154929577464	47	0.09456740442655935	2	0.004024144869215292	448	0.9014084507042254	257	30	0.11673151750972763	30	0.11673151750972763	1.9708310321585827	10
RW_4	Kathmandu18	strict_perfect	572	66	0.11538461538461539	66	0.11538461538461539	0	0.0	506	0.8846153846153846	279	52	0.1863799283154122	52	0.1863799283154122	2.0494722350377725	10
RW_5	Kathmandu18	strict_perfect	597	72	0.12060301507537688	72	0.12060301507537688	0	0.0	525	0.8793969849246231	282	59	0.20921985815602837	59	0.20921985815602837	2.0347073600750134	10
RW_6	Kathmandu18	strict_perfect	545	60	0.11009174311926606	57	0.10458715596330276	3	0.005504587155963303	485	0.8899082568807339	238	46	0.19327731092436976	45	0.18907563025210083	2.012181073204823	10
SRR5007116	USA_CrossStudy8	strict_perfect	207	1	0.004830917874396135	0	0.0	1	0.004830917874396135	206	0.9951690821256038	33	0	0.0	0	0.0	1.2922910591064796	7
SRR5007352	USA_CrossStudy8	strict_perfect	248	8	0.03225806451612903	6	0.024193548387096774	2	0.008064516129032258	240	0.967741935483871	36	7	0.19444444444444445	5	0.1388888888888889	1.628797751999402	7
