sample	Best_Hit_ARO	ARO	ARG_loci	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction
2019_SRR28226461	tet(O)	3000190	2	0	0.0	0	0.0
2019_SRR28226461	tet(Q)	3000191	5	0	0.0	0	0.0
2019_SRR28226461	tet(S)	3000192	1	0	0.0	0	0.0
2019_SRR28226461	tet(W)	3000194	1	1	1.0	1	1.0
2019_SRR28226461	tet(W/N/W)	3004442	1	0	0.0	0	0.0
2019_SRR28226461	tet(X)	3000205	1	1	1.0	1	1.0
2019_SRR28226461	tet(X1)	3005166	1	1	1.0	1	1.0
2019_SRR28226461	tetB(P)	3000195	2	0	0.0	0	0.0
2019_SRR28226461	vanG	3002909	10	1	0.1	1	0.1
2019_SRR28226461	vanH gene in vanB cluster	3002943	2	0	0.0	0	0.0
2019_SRR28226461	vanH gene in vanM cluster	3002947	1	0	0.0	0	0.0
2019_SRR28226461	vanH gene in vanO cluster	3002948	8	0	0.0	0	0.0
2019_SRR28226461	vanT gene in vanG cluster	3002972	63	1	0.015873015873015872	1	0.015873015873015872
2019_SRR28226461	vanU gene in vanG cluster	3004253	1	0	0.0	0	0.0
2019_SRR28226461	vanW gene in vanB cluster	3002964	1	0	0.0	0	0.0
2019_SRR28226461	vanW gene in vanG cluster	3002965	11	0	0.0	0	0.0
2019_SRR28226461	vanW gene in vanI cluster	3003724	42	0	0.0	0	0.0
2019_SRR28226461	vanXY gene in vanG cluster	3003069	2	1	0.5	1	0.5
2019_SRR28226461	vanY gene in vanA cluster	3002955	5	0	0.0	0	0.0
2019_SRR28226461	vanY gene in vanB cluster	3002956	28	0	0.0	0	0.0
2019_SRR28226461	vanY gene in vanF cluster	3002958	5	1	0.2	0	0.0
2019_SRR28226461	vanY gene in vanG cluster	3002959	5	0	0.0	0	0.0
2019_SRR28226461	vanY gene in vanM cluster	3002961	9	1	0.1111111111111111	0	0.0
2020_SRR33084338	Erm(39)	3000602	1	0	0.0	0	0.0
2020_SRR33084338	Mycobacterium tuberculosis folC with mutation conferring resistance to para-aminosalicylic acid	3004157	1	0	0.0	0	0.0
2020_SRR33084338	Mycobacterium tuberculosis intrinsic murA conferring resistance to fosfomycin	3003784	1	0	0.0	0	0.0
2020_SRR33084338	Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin	3003395	1	0	0.0	0	0.0
2020_SRR33084338	RbpA	3000245	4	0	0.0	0	0.0
2020_SRR33084338	adeF	3000777	9	0	0.0	0	0.0
2020_SRR33084338	arr-1	3002846	1	0	0.0	0	0.0
2020_SRR33084338	iri	3002884	1	0	0.0	0	0.0
2020_SRR33084338	mphE	3003741	1	0	0.0	0	0.0
2020_SRR33084338	mphF	3003071	1	1	1.0	1	1.0
2020_SRR33084338	msrE	3003109	1	0	0.0	0	0.0
2020_SRR33084338	qacG	3007015	5	2	0.4	2	0.4
2020_SRR33084338	qacJ	3007014	2	0	0.0	0	0.0
2020_SRR33084338	qacL	3005098	1	1	1.0	1	1.0
2020_SRR33084338	sul1	3000410	1	1	1.0	1	1.0
2020_SRR33084338	tet(Q)	3000191	1	0	0.0	0	0.0
2020_SRR33084338	vanT gene in vanG cluster	3002972	4	0	0.0	0	0.0
2020_SRR33084338	vanW gene in vanB cluster	3002964	1	0	0.0	0	0.0
2020_SRR33084338	vanW gene in vanG cluster	3002965	5	0	0.0	0	0.0
2020_SRR33084338	vanW gene in vanI cluster	3003724	12	0	0.0	0	0.0
2020_SRR33084338	vanY gene in vanA cluster	3002955	1	0	0.0	0	0.0
2020_SRR33084338	vanY gene in vanB cluster	3002956	7	0	0.0	0	0.0
2020_SRR33084338	vanY gene in vanG cluster	3002959	1	0	0.0	0	0.0
2021_SRR28226424	AAC(6')-Ib9	3002580	1	0	0.0	0	0.0
2021_SRR28226424	ANT(2'')-Ia	3000230	1	1	1.0	1	1.0
2021_SRR28226424	APH(3'')-Ib	3002639	1	1	1.0	1	1.0
2021_SRR28226424	APH(6)-Id	3002660	1	1	1.0	1	1.0
2021_SRR28226424	ArnT	3005053	4	0	0.0	0	0.0
2021_SRR28226424	CRP	3000518	1	0	0.0	0	0.0
2021_SRR28226424	CfxA2	3003002	1	1	1.0	1	1.0
2021_SRR28226424	EC-15	3006876	1	0	0.0	0	0.0
2021_SRR28226424	EreD	3004608	1	0	0.0	0	0.0
2021_SRR28226424	ErmF	3000498	1	1	1.0	1	1.0
2021_SRR28226424	Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin	3003369	1	0	0.0	0	0.0
2021_SRR28226424	Escherichia coli soxS with mutation conferring antibiotic resistance	3003511	1	0	0.0	0	0.0
2021_SRR28226424	FosG	3007368	1	0	0.0	0	0.0
2021_SRR28226424	FosI	3007370	1	0	0.0	0	0.0
