sample	common_class	ARG_loci	ARG_present	mobile_ARG_loci	mobile_ARG_fraction	plasmid_ARG_loci	plasmid_ARG_fraction	virus_ARG_loci	virus_ARG_fraction	chromosome_ARG_loci	chromosome_ARG_fraction	ARG_locus_fraction
ERR1713335	Quinolone	18	1	18	1.0	9	0.5	0	0.0	9	0.5	0.16216216216216217
ERR1713335	Rifamycin	6	1	6	1.0	4	0.6666666666666666	0	0.0	2	0.3333333333333333	0.05405405405405406
ERR1713335	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713335	Tetracycline	24	1	24	1.0	14	0.5833333333333334	1	0.041666666666666664	9	0.375	0.21621621621621623
ERR1713335	Trimethoprim	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.009009009009009009
ERR1713337	Aminoglycoside	7	1	7	1.0	5	0.7142857142857143	0	0.0	2	0.2857142857142857	0.04929577464788732
ERR1713337	Beta-lactam	24	1	24	1.0	12	0.5	1	0.041666666666666664	11	0.4583333333333333	0.16901408450704225
ERR1713337	Fosfomycin	1	1	1	1.0	0	0.0	0	0.0	1	1.0	0.007042253521126761
ERR1713337	MLS	17	1	17	1.0	9	0.5294117647058824	1	0.058823529411764705	7	0.4117647058823529	0.11971830985915492
ERR1713337	Phenicol	11	1	11	1.0	7	0.6363636363636364	1	0.09090909090909091	3	0.2727272727272727	0.07746478873239436
ERR1713337	Quinolone	30	1	30	1.0	7	0.23333333333333334	0	0.0	23	0.7666666666666667	0.2112676056338028
ERR1713337	Rifamycin	7	1	7	1.0	3	0.42857142857142855	0	0.0	4	0.5714285714285714	0.04929577464788732
ERR1713337	Sulfonamide	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.007042253521126761
ERR1713337	Tetracycline	43	1	43	1.0	12	0.27906976744186046	1	0.023255813953488372	30	0.6976744186046512	0.3028169014084507
ERR1713337	Trimethoprim	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.007042253521126761
ERR1713339	Aminoglycoside	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713339	Beta-lactam	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713339	Fosfomycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713339	MLS	6	1	6	1.0	5	0.8333333333333334	0	0.0	1	0.16666666666666666	0.8571428571428571
ERR1713339	Phenicol	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713339	Quinolone	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713339	Rifamycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713339	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713339	Tetracycline	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.14285714285714285
ERR1713339	Trimethoprim	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713343	Aminoglycoside	4	1	4	1.0	3	0.75	1	0.25	0	0.0	0.15384615384615385
ERR1713343	Beta-lactam	3	1	3	1.0	2	0.6666666666666666	0	0.0	1	0.3333333333333333	0.11538461538461539
ERR1713343	Fosfomycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713343	MLS	7	1	7	1.0	6	0.8571428571428571	0	0.0	1	0.14285714285714285	0.2692307692307692
ERR1713343	Phenicol	1	1	1	1.0	1	1.0	0	0.0	0	0.0	0.038461538461538464
ERR1713343	Quinolone	3	1	3	1.0	1	0.3333333333333333	0	0.0	2	0.6666666666666666	0.11538461538461539
ERR1713343	Rifamycin	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713343	Sulfonamide	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713343	Tetracycline	8	1	8	1.0	6	0.75	0	0.0	2	0.25	0.3076923076923077
ERR1713343	Trimethoprim	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0.0
ERR1713344	Aminoglycoside	9	1	9	1.0	8	0.8888888888888888	1	0.1111111111111111	0	0.0	0.0661764705882353
ERR1713344	Beta-lactam	13	1	13	1.0	9	0.6923076923076923	0	0.0	4	0.3076923076923077	0.09558823529411764
