sample_id	stage	relative_path	file_name	bytes	sha256	status
ERR1713382	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713382/ERR1713382_drug_class_summary.tsv	ERR1713382_drug_class_summary.tsv	1405	8ee4704ad7654f7e3423e60464508230587be813301b4d3b21e5e00799c3d4bd	PASS
ERR1713382	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713382/ERR1713382_sample_summary.tsv	ERR1713382_sample_summary.tsv	373	5219be2d2a3c0cfbc70960f3a2f3eded69694cd0d00d99dcc22c763a3d8cc307	PASS
ERR1713382	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713382/ERR1713382_strict_perfect_overlap.tsv	ERR1713382_strict_perfect_overlap.tsv	80283	734a2a5fcf58c02bbe101e98111b9dc118e000337db94b54222b939fe40b4ee1	PASS
ERR1713382	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713382/ERR1713382_strict_perfect_sample_summary.tsv	ERR1713382_strict_perfect_sample_summary.tsv	343	b20a029ea76349e93f8ce10748197c55af202e7e0431f23610a45cafb5e7a3d1	PASS
ERR1713385	FASTP	FASTP/ERR1713385/ERR1713385.fastp.json	ERR1713385.fastp.json	142018	3713e0724aa433e1c8774ad000ca374415f973544e01ed6664d036ae17361138	PASS
ERR1713385	Bowtie2	Bowtie2/ERR1713385/ERR1713385.bowtie2.log	ERR1713385.bowtie2.log	628	d80ff7e26991063bd5c5f6a99226c0dff7231e8904a2c1c4ea3fff11e35dfd45	PASS
ERR1713385	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713385/ERR1713385_rgi_bwt.gene_mapping_data.txt	ERR1713385_rgi_bwt.gene_mapping_data.txt	211880	d5b681919bcc636881c659ef72faf3cbc0cff870d6ac5071d7043a3a30bbbde6	PASS
ERR1713385	CARD_RGI_BWT	CARD_RGI_BWT/ERR1713385/ERR1713385_rgi_bwt.overall_mapping_stats.txt	ERR1713385_rgi_bwt.overall_mapping_stats.txt	517	c01ea8bd8344655175412a84603f6296ccaf62b05acec88c4206c9a1ad427c40	PASS
ERR1713385	CARD_RGI_Main	CARD_RGI_Main/ERR1713385/ERR1713385_rgi_main_compact.tsv	ERR1713385_rgi_main_compact.tsv	104007	a395da4428c4dfd4985ce680ac327b0e38e72c54fd83778a117e2063ce4164be	PASS
ERR1713385	DIAMOND_CARD	DIAMOND_CARD/ERR1713385/ERR1713385_diamond_card_merged.tsv.gz	ERR1713385_diamond_card_merged.tsv.gz	2857434	da41b357878631e2203d07e281503bd9ad2a99f414252943982217b7999c939e	PASS
ERR1713385	geNomAD	geNomAD/ERR1713385/ERR1713385.contigs_plasmid_summary.tsv	ERR1713385.contigs_plasmid_summary.tsv	136855	6396bb041b6d6883197ede539c60201a75ad28686f632bca4fd0f46fc73efbb5	PASS
ERR1713385	geNomAD	geNomAD/ERR1713385/ERR1713385.contigs_virus_summary.tsv	ERR1713385.contigs_virus_summary.tsv	953507	3cac48a3e9ec773451ef042c67c690e49bf7370b6c0ea137cd2c8afaa8d7551f	PASS
ERR1713385	Assembly	Assembly/ERR1713385/ERR1713385_assembly_metrics.tsv	ERR1713385_assembly_metrics.tsv	233	da859aa12a6d4d91f58411dac6b735201b59fe90c15f834ec94170407f892214	PASS
ERR1713385	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713385/ERR1713385_drug_class_summary.tsv	ERR1713385_drug_class_summary.tsv	1753	de9c4e4d6f738c600ac5d5385ea192e293f92acb128d9d7cf1be28b68d70a5c9	PASS
ERR1713385	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713385/ERR1713385_sample_summary.tsv	ERR1713385_sample_summary.tsv	374	3dc980f11eeb3be88f1e2684ad2d4a2c6bbff3fe21cce3bec57c8aa38e1ba313	PASS
ERR1713385	ARG_Mobility_Overlap	ARG_Mobility_Overlap/ERR1713385/ERR1713385_strict_perfect_overlap.tsv	ERR1713385_strict_perfect_overlap.tsv	95332	8064c6f5a6ec43a71f34dc25d5215e74defaa21107922c8e278147bc2b70aa11	PASS
